Date of Sale (yyyy/mm/dd),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Month,Year
2020-10-14 00:00:00,"4 GRATTAN TERRACE, FATHER BURKE RD, CLADDAGH",None,Galway,410000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2020
2021-10-28 00:00:00,"COLLEGE RD, LETTERKENNY, DONEGAL",None,Donegal,225000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2021
2014-01-20 00:00:00,"4 OAKWOOD, WOODLAWN RD, KILLARNEY",None,Kerry,230000.0,No,No,Second-Hand Dwelling house /Apartment,None,1,2014
2020-03-20 00:00:00,"12 THE COURTYARD, KILCOCK, KILDARE",None,Kildare,315000.0,Yes,No,Second-Hand Dwelling house /Apartment,None,3,2020
2016-09-16 00:00:00,"APT 6 WOODFORD COURT, LEINSTER RD WEST, DUBLIN",Dublin 6,Dublin,265575.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2016
2021-12-02 00:00:00,"1 GURTEEN GARDENS, BALLINACURRA, LIMERICK",None,Limerick,250000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2021
2016-05-25 00:00:00,"LAKE VIEW COTTAGE, FOXWOOD, KILMORE",None,Roscommon,95000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2016
2020-09-12 00:00:00,"4 Forgelands, Old Forge Road, Enniscorthy",None,Wexford,190390.31,No,Yes,New Dwelling house /Apartment,None,9,2020
2019-07-02 00:00:00,"142 BOIREANN BHEAG, ROSCAM, GALWAY",None,Galway,222000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2019
2017-10-23 00:00:00,"WILLOWHILL, RELEBEG, BAILIEBOROUGH",None,Cavan,150000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2017
2015-09-01 00:00:00,"MOUNTLANDS, KILMESSAN, CO MEATH",None,Meath,152000.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2015
2015-02-25 00:00:00,"EOCHAILL, GLEN, BALLYNEETY",None,Limerick,235000.0,No,No,Second-Hand Dwelling house /Apartment,None,2,2015
2017-05-31 00:00:00,"APT 3, BELLINGHAM GREEN, CASTLEBELLINGHAM",None,Louth,425000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,5,2017
2018-10-12 00:00:00,"12 CRUACHAN, DUNGARVAN, CO WATERFORD",None,Waterford,170000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2018
2014-05-02 00:00:00,"70 PARKMORE DR, TERENURE, DUBLIN 6W",None,Dublin,610000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2014
2021-12-04 00:00:00,"BROOKFIELD, MYRTLEVILLE, CORK",None,Cork,190000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2021
2016-11-21 00:00:00,"18 Parkside Avenue, Balgriffin, Dublin 13",Dublin 13,Dublin,281938.32,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,11,2016
2016-09-12 00:00:00,"175 BALLYROAN RD, RATHFARNHAM, DUBLIN 16",Dublin 16,Dublin,507000.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2016
2020-05-11 00:00:00,"3 HERBERT LANE, DUBLIN 2, DUBLIN",None,Dublin,710000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2020
2011-04-27 00:00:00,"1 Alexander Street, Waterford",None,Waterford,45000.0,No,No,Second-Hand Dwelling house /Apartment,None,4,2011
2021-08-27 00:00:00,"THE COACH HOUSE, GLYNTOWN, GLANMIRE",None,Cork,515000.0,No,No,Second-Hand Dwelling house /Apartment,None,8,2021
2021-05-21 00:00:00,"ALLENWOOD SOUTH, NAAS, CO KILDARE",None,Kildare,128000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2021
2017-04-12 00:00:00,"92 PATRICK ST, KILKENNY, KILKENNY",None,Kilkenny,150000.0,No,No,Second-Hand Dwelling house /Apartment,None,4,2017
2010-07-19 00:00:00,"17 Bishop Murphy Park, Parteen",None,Clare,150000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2010
2021-08-17 00:00:00,"4 An Gairdin Cuil, Cosmona, Loughrea",None,Galway,265000.0,No,Yes,New Dwelling house /Apartment,None,8,2021
2012-05-31 00:00:00,"44 Fernwood, Glyntown, Glanmire",None,Cork,205000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2012
2010-08-13 00:00:00,"Farragh, Killoe",None,Longford,200000.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,8,2010
2021-11-29 00:00:00,"18 Strand View, Strand Road, Bray",None,Wicklow,431718.0,No,Yes,New Dwelling house /Apartment,None,11,2021
2020-10-15 00:00:00,"APT 23, BROADLEAF, CHARLOTTE QUAY",None,Limerick,90000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2020
2018-09-27 00:00:00,"TEACH SABHAIRCIN, MOUNFOUN OLD PARISH, DUNGARVAN",None,Waterford,229000.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2018
2013-06-26 00:00:00,"35 Marsham Court, Kilmacud Road, Stillorgan",None,Dublin,332500.0,No,No,Second-Hand Dwelling house /Apartment,None,6,2013
2014-05-29 00:00:00,"GLENMORE, COLLON, LOUTH",None,Louth,233000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2014
2021-07-14 00:00:00,"APT 38 WESTSIDE, PEARSE RD, LETTERKENNY",None,Donegal,65000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2021
2013-09-24 00:00:00,"Errew, Crossmolina",None,Mayo,57999.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2013
2014-06-06 00:00:00,"17 BELLVIEW HEIGHTS, MULLINGAR, WESTMEATH",None,Westmeath,94500.0,No,No,Second-Hand Dwelling house /Apartment,None,6,2014
2013-11-28 00:00:00,"BALLINGARRY, BALLYFEARD",None,Cork,123000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2013
2015-10-09 00:00:00,"APT 92, CLONARD VILLAGE CENTRE, CLONARD",None,Wexford,77000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2015
2020-10-12 00:00:00,"12 CHURCH AVENUE, ROMAN ST, CORK",None,Cork,70000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2020
2019-11-27 00:00:00,"14 Meadowgate, Marlton Road",None,Wicklow,297797.36,No,Yes,New Dwelling house /Apartment,None,11,2019
2016-11-25 00:00:00,"CORCULLION, CASTLEFIN, LIFFORD",None,Donegal,159000.0,Yes,No,Second-Hand Dwelling house /Apartment,None,11,2016
2019-07-26 00:00:00,"REVANAGH, COOLCULLEN, VIA CARLOW",None,Kilkenny,107000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2019
2019-07-31 00:00:00,"APT 21 THE GREEN, HAZEL HATCH PARK, CELEBRIDGE",None,Kildare,227500.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2019
2018-11-12 00:00:00,"4 Hillside, Bellingsfield, Kilcullen Road",None,Kildare,262540.09,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,11,2018
2015-05-27 00:00:00,"29 Bru na hAbhainn, Collooney, Co. Sligo",None,Sligo,115000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,5,2015
2020-09-25 00:00:00,"18 SEAVIEW SQUARE, CNOC NAMARA, BLACKROCK",None,Louth,250000.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2020
2021-09-20 00:00:00,"18A GLENAMUCK COTTAGES, CARRICKMINES, DUBLIN 18",Dublin 18,Dublin,882500.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2021
2013-05-31 00:00:00,"98 Rafters Road, Drimnagh, Dublin",Dublin 12,Dublin,148500.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2013
2014-07-17 00:00:00,"100 HERBERTON RD, RIALTO, DUBLIN 8",Dublin 8,Dublin,405500.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2014
2015-01-09 00:00:00,"2 STUCKER HILL, ABBEYLEIX",None,Laois,76000.0,No,No,Second-Hand Dwelling house /Apartment,None,1,2015
2018-11-13 00:00:00,"3 DISCOVERY, ROYAL CANAL PARK, RATOATH RD DUBLIN 15",Dublin 7,Dublin,237885.46,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,11,2018
2018-06-04 00:00:00,"2 BENTLEY VILLAS, DUN LAOGHAIRE, DUBLIN",None,Dublin,485000.0,No,No,Second-Hand Dwelling house /Apartment,None,6,2018
2013-01-30 00:00:00,"13 Greenpark Meadows, Mullingar",None,Westmeath,107000.0,No,No,Second-Hand Dwelling house /Apartment,None,1,2013
2018-01-06 00:00:00,"11 FORTFIELD DR, TERENURE, DUBLIN 6W",None,Dublin,1143000.0,No,No,Second-Hand Dwelling house /Apartment,None,1,2018
2015-11-27 00:00:00,"4 ABOTTS WOOD, CARNDONAGH, DONEGAL",None,Donegal,75000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2015
2019-10-09 00:00:00,"187 ERRIGAL RD, DUBLIN 12, DUBLIN",Dublin 12,Dublin,330000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2019
2012-12-20 00:00:00,"88 Dowland Road, Walkinstown",Dublin 11,Dublin,197000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2012
2018-04-18 00:00:00,"KEERAGH VIEW, BALLYGOW, CARRIG ON BANNOW",None,Wexford,142500.0,No,No,Second-Hand Dwelling house /Apartment,None,4,2018
2016-11-10 00:00:00,"24 RIVERSIDE DR, SHANNON BANKS, CORBALLY",None,Clare,140000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2016
2018-11-06 00:00:00,"76 GRANGE ABBEY RD, DONAGHMEADE, DUBLIN 13",Dublin 13,Dublin,385000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2018
2017-05-30 00:00:00,"6 BEAUFIELD GROVE, MAYNOOTH, KILDARE",None,Kildare,260000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2017
2017-06-10 00:00:00,"RABAUN, SWINFORD, MAYO",None,Mayo,58000.0,Yes,No,Second-Hand Dwelling house /Apartment,None,6,2017
2016-11-21 00:00:00,"APT 25 CHANCERY COURT, CHANCERY LANE, DUBLIN 8",Dublin 8,Dublin,376000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2016
2019-07-03 00:00:00,"27 Marrsfield Avenue, Clongriffin",Dublin 13,Dublin,343700.0,No,Yes,New Dwelling house /Apartment,None,7,2019
2021-07-16 00:00:00,"62 FITZWILLIAM QUAY, RINGSEND, DUBLIN 4",Dublin 4,Dublin,342000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2021
2010-12-22 00:00:00,"18 Drumcree Court, Kildare Town",None,Kildare,220000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2010
2016-05-17 00:00:00,"20 INNISHMORE LAWN, BALLINCOLLIG, CORK",None,Cork,110000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2016
2017-07-12 00:00:00,"2 ANNALEE, RUSSELL QUAY, BALLYCONNELL",None,Cavan,46000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2017
2018-10-01 00:00:00,"29 The Meadows, Whitefield Manor, Bettystown",None,Meath,225022.03,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,10,2018
2015-02-23 00:00:00,"1 OSULLIVAN AVE, BALLYBOUGH, DUBLIN 3",Dublin 3,Dublin,190000.0,No,No,Second-Hand Dwelling house /Apartment,None,2,2015
2020-10-22 00:00:00,"31 BELLEVILLE, BLACKHORSE AVE, DUBLIN 7",Dublin 7,Dublin,485000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2020
2019-01-05 00:00:00,"235 LANDEN RD BALLYFERMOT, DUBLIN 10, DUBLIN",Dublin 10,Dublin,225000.0,Yes,No,Second-Hand Dwelling house /Apartment,None,1,2019
2015-03-25 00:00:00,"36 MAPLEWOOD AVE, SPRINGFIELD, TALLAGHT DUBLIN 24",Dublin 24,Dublin,177500.0,No,No,Second-Hand Dwelling house /Apartment,None,3,2015
2019-04-07 00:00:00,"52 LARTIGUE VILLAGE, LISTOWEL, CO. KERRY",None,Kerry,145000.0,Yes,No,Second-Hand Dwelling house /Apartment,None,4,2019
2017-05-24 00:00:00,"PEARSE ROAD, SLIGO, CO SLIGO",None,Sligo,285000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2017
2021-08-18 00:00:00,"96 THE VILLAGE GREEN, ROYAL MEADOWS, KILCOCK",None,Kildare,515000.0,No,No,Second-Hand Dwelling house /Apartment,None,8,2021
2010-05-03 00:00:00,"17  The Heights, Robswall, Malahide",None,Dublin,546255.51,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,5,2010
2017-07-14 00:00:00,"DRAKESTOWN, CASTLETOWN, NAVAN",None,Meath,50000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2017
2020-11-17 00:00:00,"ROSIES COTTAGE, BALLYASHEA, OLD KILDIMO",None,Limerick,340000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2020
2012-12-20 00:00:00,"Carrigane Road, Carrigtohill",None,Cork,100770.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2012
2014-12-21 00:00:00,"27 TRANWAY, BLESSINGTON, WICKLOW",None,Wicklow,63500.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2014
2021-08-27 00:00:00,"FIRST FLOOR, 122 -122A EMMET ROAD, INCHICORE",None,Dublin,500000.0,No,No,Second-Hand Dwelling house /Apartment,None,8,2021
2020-11-25 00:00:00,"91 WOODLAWN PARK AVE, FIRHOUSE, DUBLIN",Dublin 24,Dublin,470000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2020
2017-12-19 00:00:00,"APT A, 1 SOUTHERN RD, CORK CITY",None,Cork,132000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2017
2010-12-20 00:00:00,"53 York Road, Dun Laoghaire",None,Dublin,550000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2010
2018-05-23 00:00:00,"17 HOLLYBROOK PARK, KILRUDDERY, BRAY",None,Wicklow,465000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2018
2018-03-22 00:00:00,"16 WOODBINE PARK, BLACKROCK, DUBLIN",None,Dublin,1050000.0,No,No,Second-Hand Dwelling house /Apartment,None,3,2018
2020-10-08 00:00:00,"ARDFARNA, BUNDORAN, DONEGAL",None,Donegal,150000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2020
2016-10-01 00:00:00,"OLD KILLARENY VILLAGE, KILLARNEY, CO KERRY",None,Kerry,92000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2016
2019-11-13 00:00:00,"18 BELLEVIEW COURT, BOOTERSTOWN, COUNTY DUBLIN",None,Dublin,313000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2019
2021-09-30 00:00:00,"APARTMENT NO 3, 15 NEW STREET, KILLARNEY",None,Kerry,76000.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2021
2016-08-15 00:00:00,"10 GENVILLE LAWN, CASTLEKNOCK, DUBLIN 15",Dublin 15,Dublin,390000.0,No,No,Second-Hand Dwelling house /Apartment,None,8,2016
2018-08-24 00:00:00,"1 PORTSIDE COURT, EASTWALL, DUBLIN 3",Dublin 3,Dublin,305000.0,No,No,Second-Hand Dwelling house /Apartment,None,8,2018
2020-07-29 00:00:00,"CARRIGEEN LODGE, DRINGEEN BAY, CONG",None,Mayo,75000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2020
2017-03-02 00:00:00,"7 The Schoolyard, Newpark Drive, Kilkenny",None,Kilkenny,272028.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,3,2017
2017-11-09 00:00:00,"APT 16 THE PIERRE, VICTORIA TERRACE, DUN LAOGHAIRE",None,Dublin,471365.64,No,No,Second-Hand Dwelling house /Apartment,None,11,2017
2014-01-10 00:00:00,"APT 7, 436 NORTH CIRCULAR RD, DUBLIN 7",Dublin 7,Dublin,105000.0,No,No,Second-Hand Dwelling house /Apartment,None,1,2014
2010-04-02 00:00:00,"Apartment 19  Grahams, Court  Marlton Road, Wicklow",None,Wicklow,134845.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,4,2010
2019-04-09 00:00:00,"ALT LOWER, CASTLEFIN, LIFFORD",None,Donegal,32000.0,No,No,Second-Hand Dwelling house /Apartment,None,4,2019
2014-03-10 00:00:00,"BALLYVALOO UPPER, BLACKWATER, WEXFORD",None,Wexford,110000.0,No,No,Second-Hand Dwelling house /Apartment,None,3,2014
2014-12-17 00:00:00,"7 BALLYDUFF, CLOYNE, CORK",None,Cork,66000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2014
2021-09-02 00:00:00,"58 Abbotfield, Ballinagappa Road, Clane",None,Kildare,295154.18,No,Yes,New Dwelling house /Apartment,None,9,2021
2019-03-25 00:00:00,"53 HOLY CROSS PLACE, CHARLEVILLE, CO CORK",None,Cork,60000.0,No,No,Second-Hand Dwelling house /Apartment,None,3,2019
2019-10-23 00:00:00,"37 THE VILLAGE, BETTYGLEN, WATERMILL RD DUBLIN 5",Dublin 5,Dublin,377500.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2019
2019-12-13 00:00:00,"EMMET STREET, TRIM, MEATH",None,Meath,270000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2019
2018-08-08 00:00:00,"12 COLLEGE HILL, MULLINGAR, WESTMEATH",None,Westmeath,295000.0,No,No,Second-Hand Dwelling house /Apartment,None,8,2018
2019-07-25 00:00:00,"19 NEWTOWN VILLAS, BLACKROCK, DUBLIN",None,Dublin,465000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2019
2020-06-19 00:00:00,"33 An Fuaran, Oranmore",None,Galway,295154.0,No,Yes,New Dwelling house /Apartment,None,6,2020
2015-06-02 00:00:00,"87 HIGH PARK, GRACE PARK RD, DRUMCONDRA",Dublin 9,Dublin,360000.0,No,No,Second-Hand Dwelling house /Apartment,None,6,2015
2013-10-24 00:00:00,"Apartment 9, Block H  Castlekeep, Lyreen Manor   Maynooth",None,Kildare,155000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2013
2020-01-09 00:00:00,"WESTON, THE BIRCHES, FOXROCK DUBLIN 18",Dublin 18,Dublin,1500000.0,No,No,Second-Hand Dwelling house /Apartment,None,1,2020
2014-11-28 00:00:00,"KNOCKENAGH SOUTH, LISTOWEL, CO KERRY",None,Kerry,190000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2014
2017-06-13 00:00:00,"12 Aughamore, Kilcock Road, Clane",None,Kildare,367400.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,6,2017
2021-08-04 00:00:00,"6 CRESTWOOD AVE, ASHBOURNE, MEATH",None,Meath,270000.0,No,No,Second-Hand Dwelling house /Apartment,None,8,2021
2019-11-22 00:00:00,"APT 23 BELFRY HOUSE, THE OAKS RIDGEWOOD, SWORDS",None,Dublin,241000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2019
2018-08-27 00:00:00,"9 MONASTERY AVE, MONASTERY HILL, BLARNEY ST",None,Cork,345000.0,No,No,Second-Hand Dwelling house /Apartment,None,8,2018
2018-03-22 00:00:00,"37 Stonebridge, Ratoath",None,Meath,304500.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,3,2018
2014-03-13 00:00:00,"28 AUGHRIM HOLIDAY VILLAGE, AUGHRIM, WICKLOW",None,Wicklow,62000.0,No,No,Second-Hand Dwelling house /Apartment,None,3,2014
2019-05-15 00:00:00,"CAPPANAGRAUN, CARRIGADROHID, CORK",None,Cork,362500.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2019
2011-07-28 00:00:00,"27 Oakdale Close, Ballycullen, Firhouse",None,Dublin,270000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2011
2015-09-10 00:00:00,"259 BOULEVARD, MOUNT EUSTACE, TYRELLSTOWN DUBLIN 15",Dublin 15,Dublin,175000.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2015
2016-06-12 00:00:00,"TOWNSPARK, MULLINSTOWN, ARDEE",None,Louth,160000.0,No,No,Second-Hand Dwelling house /Apartment,None,6,2016
2014-03-19 00:00:00,"44 CARRIGDHOUN, WATERPARK, CARRIGALINE",None,Cork,105000.0,No,No,Second-Hand Dwelling house /Apartment,None,3,2014
2011-10-21 00:00:00,"15 Woodview Grove, Blanchardstown, Dublin",None,Dublin,295000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2011
2013-04-26 00:00:00,"4A Line Terrace, Hill Street, Dundalk",None,Louth,58000.0,No,No,Second-Hand Dwelling house /Apartment,None,4,2013
2018-04-25 00:00:00,"264 GREENFIELD COURT, TOM BELLEW AVE, DUNDALK",None,Louth,160000.0,No,No,Second-Hand Dwelling house /Apartment,None,4,2018
2019-09-08 00:00:00,"16 THE CROFT, CLARINWOOD, TRAMORE",None,Waterford,266000.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2019
2016-12-21 00:00:00,"51 WOLSELEY PARK, MOUNT WOLSELEY, TULLOW",None,Carlow,145000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2016
2017-09-03 00:00:00,"APT 3  BLOCK 1 ROSEBANK PLACE, NANGOR ROAD, CLONDALKIN",None,Dublin,140000.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2017
2015-01-09 00:00:00,"105 WESBURY, STILLORGAN, DUBLIN",None,Dublin,740000.0,No,No,Second-Hand Dwelling house /Apartment,None,1,2015
2012-11-27 00:00:00,"Killonan, Ballysimon",None,Limerick,91000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2012
2017-01-30 00:00:00,"2 BELAN ST, BALTINGLASS, WICKLOW",None,Wicklow,115000.0,No,No,Second-Hand Dwelling house /Apartment,None,1,2017
2011-10-28 00:00:00,"5 The Courtyard, Kildangan",None,Kildare,200000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2011
2019-01-31 00:00:00,"22 CLOVER HILL, TULLA RD, ENNIS",None,Clare,323000.0,No,No,Second-Hand Dwelling house /Apartment,None,1,2019
2016-05-04 00:00:00,"9 ARD NA TUIRE, DROMISKIN, DUNDALK",None,Louth,111000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2016
2015-12-17 00:00:00,"204 RIVER VILLAGE, MONKSLAND, ATHLONE",None,Roscommon,190000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2015
2012-08-28 00:00:00,"8 The Walnut, Woodstream, Coolaney",None,Sligo,105727.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,8,2012
2016-02-26 00:00:00,"106 THE DRUMLINS, VIRGINIA, CAVAN",None,Cavan,150000.0,No,No,Second-Hand Dwelling house /Apartment,None,2,2016
2010-07-30 00:00:00,"46 Giltspur Brook, Bray",None,Wicklow,305000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2010
2016-05-31 00:00:00,"47 Ellagh, Headford",None,Galway,88105.72,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,5,2016
